Date,Open,High,Low,Close,Volume
1972-06-01,0.0,0.7079439802687078,0.7019948379038994,0.7068623900413513,825600
1972-06-02,0.7144336713113477,0.7214644014783412,0.7144336713113477,0.7198420166969299,2496000
1972-06-05,0.71984225079359,0.7279545734530297,0.7182198654845702,0.7209238409996033,960000
1972-06-06,0.7209234837878916,0.7225458682930331,0.6906369924545288,0.6906369924545288,1824000
1972-06-07,0.6906372413124339,0.6938824076061946,0.6879332661628723,0.6879332661628723,604800
1972-06-08,0.6879331429715376,0.6965862580148687,0.6873923480384679,0.689014732837677,1180800
1972-06-09,0.6890145651803313,0.6900961547832883,0.6803614522425551,0.68576979637146,451200
1972-06-12,0.6884736960738558,0.6906368750463042,0.6884736960738558,0.6900960803031921,153600
1972-06-13,0.6933414271434137,0.7187603712081909,0.6933414271434137,0.7187603712081909,700800
1972-06-14,0.7225463452712821,0.7344446317250857,0.7225463452712821,0.7311998605728149,787200
1972-06-15,0.7311998628244784,0.7398529820382521,0.727954695547809,0.7306590676307678,787200
1972-06-16,0.7284953702317939,0.7284953702317939,0.7193014573451921,0.7257913947105408,576000
1972-06-19,0.7230868359761301,0.7230868359761301,0.7182196812972514,0.7225460410118103,720000
1972-06-20,0.7279547390033906,0.7344446778297424,0.7279547390033906,0.7344446778297424,460800
1972-06-21,0.7344446362517466,0.7409345747106935,0.7301182746887207,0.7301182746887207,1872000
1972-06-22,0.7301182724370574,0.7311998628244784,0.7268731051603881,0.7306590676307678,604800
1972-06-23,0.732281499747275,0.73931223382671,0.732281499747275,0.7387714385986328,787200
1972-06-26,0.7376894950866699,0.7376894950866699,0.7339035341876465,0.7376894950866699,470400
1972-06-27,0.7376894942342223,0.7398526741087402,0.7268728026331484,0.7322811484336853,1008000
1972-06-28,0.7311993178011237,0.7311993178011237,0.7268725633621216,0.7268725633621216,57600
1972-06-29,0.7209240359640109,0.7209240359640109,0.7160564826062453,0.7171384692192078,326400
1972-06-30,0.7198423737477182,0.7344446362517466,0.7198423737477182,0.7301182746887207,441600
1972-07-03,0.7299446087072609,0.7299446087072609,0.725612856846023,0.7277787327766418,422400
