Date,Open,High,Low,Close,Volume,WMA,EMA12,EMA26,MACD_LINE,SIGNAL_LINE,MACD_HISTOGRAMS,RSI,TWAP_10,AR,ATR,SVMA_20,returns
1992-04-07,7.6875,7.75,7.4375,7.5625,909600,7.684659090909091,7.854523441767674,7.577825372430805,0.27669806933686925,,,14.583333333333329,7.8921875,0.3125,0.2544642857142857,342580.0,0.0
1992-04-08,7.4375,7.5,7.1875,7.375,544400,7.5971590909090905,7.780750604572647,7.562801270769263,0.217949333803384,,,11.320754716981128,7.76796875,0.375,0.3169642857142857,356080.0,-0.024793388429752067
1992-04-09,7.375,7.53125,7.25,7.46875,355200,7.55,7.732750511561471,7.55583450997154,0.17691600158993115,,,20.0,7.65859375,0.28125,0.36830357142857145,347860.0,0.012711864406779662
1992-04-10,7.5625,7.6875,7.5,7.5,93200,7.523863636363636,7.696942740552014,7.551698620344018,0.14524412020799637,,,31.25,7.60390625,0.21875,0.2767857142857143,340860.0,0.0041841004184100415
1992-04-13,7.5625,7.6875,7.5625,7.6875,37200,7.538636363636364,7.69549001123632,7.5617579818000165,0.13373202943630336,,,35.294117647058826,7.57109375,0.1875,0.21651785714285715,324080.0,0.025
1992-04-14,7.6875,7.9375,7.5625,7.9375,193600,7.6045454545454545,7.732722317199963,7.589590723888904,0.1431315933110593,0.1431315933110593,0.0,47.61904761904762,7.55078125,0.375,0.20089285714285715,325160.0,0.032520325203252036
1992-04-15,7.9375,7.9375,7.8125,7.8125,85200,7.648863636363636,7.744995806861507,7.606102522119356,0.13889328474215112,0.1428961317238977,-0.004002846981746577,60.6060606060606,7.5640625,0.125,0.35714285714285715,322040.0,-0.015748031496062992
1992-04-16,7.8125,7.8125,7.625,7.625,91200,7.6551136363636365,7.726534913498198,7.6075023352957,0.11903257820249813,0.1415703787504866,-0.022537800547988457,55.55555555555556,7.5875,0.1875,0.12946428571428573,295920.0,-0.024
1992-04-20,7.65625,7.65625,7.3125,7.34375,256400,7.607954545454546,7.667644926806168,7.587965125273795,0.07967980153237253,0.13813201334948025,-0.05845221181710772,44.44444444444444,7.59765625,0.34375,0.19866071428571427,299680.0,-0.036885245901639344
1992-04-21,7.125,7.1875,6.6875,6.8125,542800,7.467045454545454,7.5360841688359885,7.530523264142404,0.005560904693584945,0.13076695175748607,-0.12520604706390112,30.0,7.53984375,0.65625,0.36607142857142855,324240.0,-0.07234042553191489
