Date,Open,High,Low,Close,Volume,WMA,EMA12,EMA26,MACD_LINE,SIGNAL_LINE,MACD_HISTOGRAMS,RSI,TWAP_10,AR,ATR,SVMA_20,returns
1991-09-11,4.875,5.125,4.875,5.0,167400,5.0034090909090905,4.900485762853222,4.85145826184722,0.04902750100600173,0.04902750100600173,0.0,66.66666666666666,4.9828125,0.25,0.19196428571428573,91710.0,-0.012345679012345678
1991-09-12,5.25,5.3125,5.0625,5.1875,729400,5.0397727272727275,4.944641799337342,4.876350242451131,0.06829155688621125,0.05009772633268003,0.018193830553531215,70.0,5.040625,0.3125,0.2544642857142857,123070.0,0.0375
1991-09-13,5.375,5.5625,5.375,5.5625,110600,5.135227272727272,5.039696907131597,4.927176150417714,0.11252075671388262,0.053565672464969065,0.058955084248913554,72.72727272727272,5.109375,0.375,0.3169642857142857,127010.0,0.07228915662650602
1991-09-16,5.375,5.5625,5.375,5.5625,230800,5.219318181818182,5.120128152188274,4.974237176312698,0.14589097587557553,0.058694855987780535,0.08719611988779499,66.66666666666666,5.153125,0.1875,0.36160714285714285,135060.0,0.0
1991-09-17,5.5625,5.5625,5.4375,5.5,90200,5.285227272727273,5.178569974928539,5.013182570659906,0.16538740426863363,0.06462221978116126,0.10076518448747238,66.66666666666666,5.18125,0.125,0.18303571428571427,135800.0,-0.011235955056179775
1991-09-18,5.5625,5.6875,5.5,5.6875,82800,5.3784090909090905,5.25686690186261,5.063132009870284,0.1937348919923263,0.07179514601511486,0.12193974597721144,78.94736842105263,5.2328125,0.1875,0.12946428571428573,137050.0,0.03409090909090909
1991-09-19,5.5625,6.25,5.5625,6.1875,443200,5.55,5.400041224652977,5.14641852765767,0.2536226969953068,0.08189667662512551,0.1717260203701813,85.18518518518519,5.3171875,0.6875,0.22321428571428573,158510.0,0.08791208791208792
1991-09-20,6.25,6.875,6.1875,6.625,290400,5.779545454545454,5.588496420860211,5.255943081164509,0.33255333969570167,0.09582204679571307,0.2367312928999886,88.23529411764706,5.459375,0.6875,0.6875,170960.0,0.0707070707070707
1991-09-23,6.5625,6.6875,6.375,6.5625,492200,5.968181818181818,5.738343125343254,5.352725075152323,0.3856180501909314,0.11192182476211408,0.27369622542881733,90.9090909090909,5.6171875,0.3125,0.6607142857142857,194720.0,-0.009433962264150943
1991-09-24,6.375,6.5625,6.375,6.5625,28400,6.1261363636363635,5.865136490675061,5.442338032548447,0.4227984581266142,0.12919274883791965,0.29360570928869456,90.0,5.7625,0.1875,0.30357142857142855,192260.0,0.0
