Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.4023110536873732,0.3932705721437735,0.3977905809879303,1158040
1980-03-18,0.0,0.40381783093310364,0.3962836914970163,0.4023109972476959,1622063
1980-03-19,0.0,0.4098453223705292,0.4023111795209822,0.4098453223705292,1367859
1980-03-20,0.0,0.41888568357713174,0.40833836793899536,0.40833836793899536,3046412
1980-03-21,0.0,0.4128585275939398,0.4068317115306854,0.4068317115306854,1020851
1980-03-24,0.0,0.4098453499735803,0.4038180410861969,0.4038180410861969,778752
1980-03-25,0.0,0.4098453499735803,0.4023112066166094,0.4038180410861969,944186
1980-03-26,0.0,0.4098453223705292,0.4023111795209822,0.4098453223705292,2332220
1980-03-27,0.0,0.4038181123752948,0.3947776257991791,0.3947776257991791,770682
1980-03-28,0.0,0.4098453514900447,0.40381804258035964,0.4068317115306854,459988
1980-03-31,0.0,0.4143651833857093,0.4068315360959667,0.4113520085811615,250169
1980-04-01,0.0,0.4188858869147711,0.4113522354697107,0.41737908124923706,201749
1980-04-02,0.0,0.4399809523280565,0.4173790158418412,0.43696728348731995,758577
1980-04-03,0.0,0.45052817204726603,0.4384740211808295,0.44600769877433777,1480839
1980-04-07,0.0,0.4460077373500236,0.43847405910491943,0.43847405910491943,464023
1980-04-08,0.0,0.43546029494696603,0.43093979358673096,0.43093979358673096,1355754
1980-04-09,0.0,0.43093979358673096,0.43093979358673096,0.43093979358673096,347009
1980-04-10,0.0,0.4399808921142409,0.4339535842486036,0.4354604184627533,314729
1980-04-11,0.0,0.4460077383677298,0.4384740601054352,0.4399808943271637,710157
1980-04-14,0.0,0.4369672526801341,0.4339536130428314,0.4339536130428314,205784
1980-04-15,0.0,0.4399809523280565,0.4354604780579171,0.43696728348731995,197714
1980-04-16,0.0,0.4460077383677298,0.4399808943271637,0.4399808943271637,2134506
1980-04-17,0.0,0.43696728348731995,0.4339536436375488,0.43696728348731995,1371894
1980-04-18,0.0,0.4414877867484248,0.43696728348731995,0.43696728348731995,391393
1980-04-21,0.0,0.4399809523280565,0.43696728348731995,0.43696728348731995,379288
1980-04-22,0.0,0.452035046263682,0.4399808943271637,0.4399808943271637,1125760
1980-04-23,0.0,0.44751457572634795,0.43998092591416116,0.4429945945739746,625422
1980-04-24,0.0,0.44600769877433777,0.4414876893567544,0.44600769877433777,246134
1980-04-25,0.0,0.44751471276000804,0.4445010721683502,0.4445010721683502,121049
1980-04-28,0.0,0.45052820444107056,0.4445008966468053,0.45052820444107056,347009
1980-04-29,0.0,0.4505281137046893,0.44902127981185913,0.44902127981185913,1166110
1980-04-30,0.0,0.45052844239952344,0.44751477241516113,0.44751477241516113,431743
