Date,Open,High,Low,Close,Volume,WMA,EMA12,EMA26,MACD_LINE,SIGNAL_LINE,MACD_HISTOGRAMS,RSI,TWAP_10,AR,ATR,SVMA_20,returns
1993-06-14,2.90625,2.90625,2.84375,2.84375,80800,2.824431818181818,2.777216495242207,2.7387541140104448,0.038462381231762155,0.03497045846731174,0.003491922764450414,75.0,2.79453125,0.0625,0.0625,319520.0,-0.010869565217391304
1993-06-15,2.90625,2.90625,2.75,2.8125,663200,2.8267045454545454,2.7826447267434062,2.7442167722318933,0.03842795451151293,0.03516254158087847,0.0032654129306344606,69.23076923076923,2.8109375,0.15625,0.06919642857142858,335200.0,-0.01098901098901099
1993-06-16,2.75,2.8125,2.75,2.75,353600,2.8147727272727274,2.7776224610905746,2.744645159473975,0.03297730161659951,0.035041139360640745,-0.0020638377440412373,45.45454545454546,2.8140625,0.0625,0.14955357142857142,325120.0,-0.022222222222222223
1993-06-17,2.75,2.8125,2.75,2.75,135200,2.8034090909090907,2.7733728516920246,2.7450418143277546,0.028331037364270006,0.03466835591639792,-0.006337318552127914,39.99999999999999,2.8109375,0.0625,0.0625,311440.0,0.0
1993-06-18,2.8125,2.90625,2.75,2.875,132800,2.815909090909091,2.7890077975855596,2.7546683465997726,0.03433945098578706,0.03465008342025287,-0.0003106324344658157,66.66666666666666,2.81640625,0.15625,0.06919642857142858,296680.0,0.045454545454545456
1993-06-21,2.84375,2.9375,2.84375,2.890625,365600,2.828977272727273,2.804641213341627,2.764739209814604,0.03990200352702322,0.03494185675951789,0.004960146767505329,61.904761904761905,2.824609375,0.09375,0.15178571428571427,307760.0,0.005434782608695652
1993-06-22,2.9375,2.9375,2.875,2.9375,92000,2.8491477272727272,2.8250810266736845,2.7775363053838924,0.04754472128979215,0.03564201590008868,0.011902705389703463,66.66666666666666,2.837109375,0.0625,0.09151785714285714,311520.0,0.016216216216216217
1993-06-23,2.9375,2.9375,2.875,2.9375,132000,2.8670454545454547,2.8423762533392716,2.7893854679480485,0.05299078539122304,0.036605836427373924,0.016384948963849115,66.66666666666666,2.851171875,0.0625,0.0625,315000.0,0.0
1993-06-24,2.9375,2.9375,2.875,2.9375,39200,2.8826704545454547,2.8570106759024605,2.8003569147667116,0.05665376113574894,0.03771961002228364,0.018934151113465296,63.63636363636363,2.860546875,0.0625,0.0625,306640.0,0.0
1993-06-25,2.9375,2.9375,2.84375,2.9375,167200,2.896590909090909,2.8693936488405436,2.810515661821029,0.05887798701951441,0.03889507541101868,0.019982911608495732,60.0,2.864453125,0.09375,0.06473214285714286,305160.0,0.0
