Date,Open,High,Low,Close,Volume,WMA,EMA12,EMA26,MACD_LINE,SIGNAL_LINE,MACD_HISTOGRAMS,RSI,TWAP_10,AR,ATR,SVMA_20,returns
2021-08-17,47.29999923706055,48.84999847412109,46.0099983215332,46.66999816894531,9160300,50.4485446583141,49.572958884154545,,,,,49.89857930072543,54.108199977874754,2.8400001525878835,3.573572431291852,,-0.01101929376767031
2021-08-18,47.96500015258789,52.060001373291016,47.20000076293945,49.79999923706055,24408000,49.849999167702414,49.607888169217006,,,,,26.403855090495227,52.42782497406006,5.390003204345703,3.022143227713442,,0.0670666636151267
2021-08-19,45.060001373291016,46.880001068115234,44.1349983215332,44.68999862670898,18517600,48.696726296164776,48.851289778061926,,,,,39.29058627529171,51.1761999130249,5.665000915527344,5.409645898001535,,-0.10261045559512318
2021-08-20,45.20000076293945,45.560001373291016,42.43999862670898,42.63999938964844,11764300,47.28490815596147,47.89570664138293,,,,,27.369204311485177,49.90319995880127,3.1200027465820384,5.48321533203125,,-0.045871543970810454
2021-08-23,44.15999984741211,46.84999847412109,43.31999969482422,45.290000915527344,15664700,46.579817546497694,47.49482883740515,,,,,29.50994977226972,48.59684991836548,4.209999084472649,3.197859627859939,,0.06214825431076901
2021-08-24,46.459999084472656,50.2400016784668,46.0,49.380001068115234,17122700,46.828181526877664,47.784855334437474,,,,,42.23433876217268,47.838474941253665,4.950000762939453,4.262856347220278,,0.0903069125614803
2021-08-25,48.42499923706055,50.9900016784668,47.5,48.97999954223633,10837500,47.08672700361772,47.96872367409883,,,,,45.908925795196744,47.501749992370605,3.490001678466797,4.8457151140485495,40212105.0,-0.008100476250033701
2021-08-26,48.0,49.84999847412109,46.400001525878906,46.86000061035156,7187700,46.99999993064187,47.79815089506079,,,,,47.61905250217106,47.37612504959107,3.4499969482421804,3.487144197736467,35447755.0,-0.043282951239243125
2021-08-27,46.79899978637695,48.09999847412109,46.13999938964844,46.869998931884766,6058100,46.93763615001332,47.6553582853414,,,,,42.00679963176501,47.061349868774414,1.9599990844726491,3.3435685294014994,33719050.0,0.0002133658003195684
2021-08-30,46.29999923706055,46.59999847412109,42.560001373291016,43.63999938964844,12363800,46.35636340054599,47.0376107629271,,,,,42.38524447036673,46.70434980392456,4.30999755859375,2.127856118338442,33339815.0,-0.06891400929900643
2021-08-31,42.02999877929688,44.5,41.5099983215332,44.31999969482422,8847500,45.963272510875356,46.61951675244974,,,,,44.993612373466476,46.29259986877442,2.990001678466797,4.215712138584682,29091230.0,0.015582042041391039
2021-09-01,43.7599983215332,47.119998931884766,43.70000076293945,44.56999969482422,11013000,45.658363411643286,46.30420643589197,,,,,37.299661234876226,45.845724773406985,3.4199981689453125,3.0207157135009766,20852355.0,0.00564079426266773
2021-09-02,45.20199966430664,45.79999923706055,44.20000076293945,44.4900016784668,4088600,45.43400011929599,46.02509801167272,44.4900016784668,1.5350963332059209,,,49.35733618373313,45.81889982223511,1.5999984741210938,3.2899981907435825,16933265.0,-0.0017948848307197051
2021-09-03,44.69300079345703,44.880001068115234,43.150001525878906,43.34999847412109,4652500,45.00599982521751,45.61354423666478,44.405556996663414,1.2079872400013656,,,52.42320481406931,45.82472486495972,1.7299995422363281,1.6092842647007533,13659305.0,-0.025623806728186142
2021-09-07,43.33000183105469,43.38999938964844,41.75,42.130001068115234,6179200,44.343272746693,45.07761451842639,44.23699729825244,0.8406172201739466,,,38.048409729730665,45.599224948883055,1.6399993896484375,1.7235709599086217,12593505.0,-0.028142963066865194
