Date,Open,High,Low,Close,Volume,WMA,EMA12,EMA26,MACD_LINE,SIGNAL_LINE,MACD_HISTOGRAMS,RSI,TWAP_10,AR,ATR,SVMA_20,returns
2018-07-26,26.5,27.450000762939453,25.0,26.700000762939453,43213200,,,,,,,,,,,,
2018-07-27,27.540000915527344,27.540000915527344,23.209999084472656,24.600000381469727,19923300,,,,,,,,,4.3300018310546875,4.3300018310546875,,-0.07865169743308029
2018-07-30,23.309999465942383,23.899999618530277,21.8799991607666,22.5,13967700,,,,,,,,,2.720001220703125,4.215001787458148,,-0.08536586784167612
2018-07-31,22.200000762939453,22.709999084472656,19.6200008392334,22.59000015258789,13709600,,,,,,,,,3.089998245239258,2.746429579598563,,0.004000006781684028
2018-08-01,19.3799991607666,21.399999618530277,18.6200008392334,20.309999465942383,19339000,,,,,,,,,3.969999313354492,3.152855464390346,,-0.10092964458808616
2018-08-02,19.270000457763672,20.18000030517578,19.030000686645508,19.65999984741211,9268500,,,,,,,,,1.279998779296875,3.7778564180646623,,-0.032003921005524925
2018-08-03,19.270000457763672,20.270000457763672,18.90999984741211,19.06999969482422,6996400,,,,,,,,,1.3600006103515625,1.2857131958007812,,-0.030010180934236054
2018-08-06,19.21999931335449,21.09000015258789,18.920000076293945,20.15999984741211,8338600,,,,,,,,,2.1700000762939453,1.4178577150617326,,0.05715784845469752
2018-08-07,21.07999992370605,21.899999618530277,20.670000076293945,20.88999938964844,7573000,,,,,,,,,1.7399997711181676,2.1392857687813898,,0.03621029502785636
2018-08-08,21.420000076293945,21.459999084472656,19.86000061035156,20.270000457763672,3717300,20.704545350508255,,,,,,,21.739000034332275,1.5999984741210973,1.7299996784755198,,-0.02967922211582234
2018-08-09,20.38999938964844,20.559999465942383,19.459999084472656,20.0,4839400,20.3999998959628,,,,,,18.155891295637247,21.10799994468689,1.1000003814697266,1.5642843246459994,,-0.013320199884862766
2018-08-10,19.850000381469727,20.030000686645508,19.489999771118164,19.51000022888184,2570300,20.128181769631126,19.51000022888184,,,,,21.43658675781984,20.507749938964842,0.5400009155273438,1.0600004196166992,,-0.024499988555908025
